Date,Open,High,Low,Close,Adj Close,Volume,Ticker,return_1,log_return_1,momentum_14,volatility_14,rsi_14,day_of_week_sin,day_of_week_cos,day_of_year_sin,day_of_year_cos,volume_change_1,news_count,mean_ticker_sentiment,mean_ticker_relevance,sentiment_std,sentiment_mean_3,sentiment_mean_7,sentiment_diff_1,sentiment_window_spread_3_7
2015-01-23,47.36000061035156,47.38999938964844,46.79999923706055,47.18000030517578,40.1248893737793,26211600,MSFT,0.0010608791836921316,0.0010603168490485406,0.008982078672341798,0.014791019892464036,52.69232067130853,-0.433883739117558,-0.9009688679024191,0.38541335945432564,0.9227440286201427,-0.2698311883670399,1.0,0.317049,0.603338,0.0,0.317049,0.317049,0.0,0.0
2015-01-26,47.0,47.130001068115234,46.2400016784668,47.0099983215332,39.98029708862305,42525500,MSFT,-0.0036032637249459043,-0.0036097711162826206,0.014677238584150487,0.014576005778839362,54.509257718053576,0.0,1.0,0.4324994021339788,0.901634220265486,0.6223923758946421,0.0,0.0,0.0,0.0,0.1585245,0.1585245,-0.317049,0.0
2015-01-27,42.95000076293945,43.20000076293945,42.11000061035156,42.65999984741211,36.280792236328125,169164000,MSFT,-0.09253347435514692,-0.09709859986520873,-0.06549839164346516,0.0288942335456326,36.66368909374591,0.7818314824680298,0.6234898018587336,0.44794493940789115,0.8940611451454876,2.9779426461769996,0.0,0.0,0.0,0.0,0.10568300000000001,0.10568300000000001,0.0,0.0
2015-01-28,42.7400016784668,42.790000915527344,41.15999984741211,41.189998626708984,35.03059768676758,84507100,MSFT,-0.03445853788000652,-0.03506623435877659,-0.10902013769052132,0.029487090727228903,29.173560441167936,0.9749279121818236,-0.22252093395631434,0.4632579225674917,0.88622350294858,-0.5004427656002459,0.0,0.0,0.0,0.0,0.0,0.07926225,0.0,-0.07926225
2015-01-29,40.93000030517578,42.119998931884766,40.790000915527344,42.0099983215332,35.72798538208008,63585300,MSFT,0.019907737852957963,0.019712170119717355,-0.11725156152896654,0.028661944197963085,25.86505481479918,0.43388373911755823,-0.900968867902419,0.4784338202547012,0.8781236129591848,-0.24757446415744955,0.0,0.0,0.0,0.0,0.0,0.0634098,0.0,-0.0634098
2015-01-30,41.54999923706055,41.58000183105469,40.349998474121094,40.400001525878906,34.35874557495117,78004900,MSFT,-0.0383241337771979,-0.03907782249092408,-0.14388635936486383,0.029751410345162505,23.414264457985908,-0.433883739117558,-0.9009688679024191,0.49346814167723735,0.8697638720650646,0.22677568557512506,0.0,0.0,0.0,0.0,0.0,0.052841500000000007,0.0,-0.052841500000000007
2015-02-02,40.59000015258789,41.369998931884766,40.22999954223633,41.279998779296875,35.10715103149414,50352500,MSFT,0.021782109410423356,0.0215482688656266,-0.11416308731809588,0.030969495139960952,29.632462904544923,0.0,1.0,0.5376773767406141,0.8431506618282,-0.35449567911759394,0.0,0.0,0.0,0.0,0.0,0.04529271428571429,0.0,-0.04529271428571429
2015-02-03,41.630001068115234,41.93000030517578,41.04999923706055,41.599998474121094,35.37928771972656,52082400,MSFT,0.007751930820906638,0.007722038985425329,-0.10267476431326072,0.03125653653407605,31.88735784881257,0.7818314824680298,0.6234898018587336,0.5521013427459208,0.8337770129585915,0.03435579166873537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-04,41.939998626708984,42.209999084472656,41.36000061035156,41.84000015258789,35.583412170410156,41614800,MSFT,0.0057692713286059405,0.005752692816170061,-0.08964314651774408,0.03144352739577788,34.12943344690238,0.9749279121818236,-0.22252093395631434,0.5663619330814524,0.8241566360566663,-0.20098152158886684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-05,42.220001220703125,42.63999938964844,41.86000061035156,42.45000076293945,36.10218811035156,36548200,MSFT,0.014579364438980225,0.014474107326411552,-0.06662266512300596,0.03189225635521926,38.443941120397774,0.43388373911755823,-0.900968867902419,0.580454927809098,0.8142923779467267,-0.12174995434316638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-06,42.68000030517578,42.790000915527344,42.150001525878906,42.40999984741211,36.06816864013672,34616600,MSFT,-0.0009423065914822004,-0.0009427508414400775,-0.08282875631551401,0.03133663376648256,34.543978935727125,-0.433883739117558,-0.9009688679024191,0.5943761565849831,0.804187157621448,-0.052850755987982945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-09,42.2400016784668,42.7400016784668,42.209999084472656,42.36000061035156,36.02565383911133,31381100,MSFT,-0.0011789492393406986,-0.0011796447466941526,-0.08687214555549527,0.031261931551257574,33.60456273764258,0.0,1.0,0.6350683134867438,0.7724559775191742,-0.09346671827966924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-10,42.7400016784668,42.77000045776367,42.18000030517578,42.599998474121094,36.22976303100586,29670700,MSFT,0.005665671867598698,0.005649682314687741,-0.07229964780507026,0.03138610160243336,36.235487699338535,0.7818314824680298,0.6234898018587336,0.6482618097757122,0.7614175109532997,-0.054504144214192585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
