step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,74.05999755859375,1,9990.0,-0.0010000000000000009
1,2015-01-26,0,72.73999786376953,1,9811.944404725898,-0.017823382910320484
2,2015-01-27,0,71.45999908447266,1,9639.28455829451,-0.01759690427396099
3,2015-01-28,0,70.25,1,9476.067015054405,-0.016932537083331423
4,2015-01-29,1,71.63999938964844,1,9663.56491351979,0.01978646818004881
5,2015-01-30,0,70.12999725341797,1,9459.879768526263,-0.021077640272127773
6,2015-02-02,0,71.11000061035156,1,9592.073042338094,0.013974096610788633
7,2015-02-03,0,71.91999816894531,1,9701.334126284923,0.011390768550715302
8,2015-02-04,0,72.27999877929688,1,9749.894836735484,0.005005570349235766
9,2015-02-05,0,73.0999984741211,1,9860.505115176458,0.0113447663070394
10,2015-02-06,1,72.54000091552734,1,9784.966689646191,-0.007660705475828422
11,2015-02-09,0,72.33000183105469,1,9756.639780072343,-0.002894941850320465
12,2015-02-10,0,72.76000213623047,1,9814.642793714185,0.005944978491499997
13,2015-02-11,0,73.01000213623047,1,9848.365452130749,0.0034359537199011303
14,2015-02-12,1,74.58999633789062,1,10061.491871181697,0.02164079106191541
15,2015-02-13,1,76.51000213623047,1,10320.482669962641,0.02574079491360015
16,2015-02-17,0,77.12999725341797,1,10404.114204190048,0.008103451834749142
17,2015-02-18,0,77.7300033569336,1,10485.049407696892,0.007779153700009367
18,2015-02-19,0,77.7300033569336,1,10485.049407696892,0.0
19,2015-02-20,1,78.55000305175781,1,10595.659686137866,0.010549333068452293
20,2015-02-23,0,78.0999984741211,1,10534.958283507733,-0.0057288931910061125
21,2015-02-24,0,77.68000030517578,1,10478.304464360033,-0.005377697530742909
22,2015-02-25,0,78.06999969482422,1,10530.911729159163,0.005020589445368984
23,2015-02-26,1,78.95999908447266,1,10650.964310791422,0.011400017844594101
24,2015-02-27,1,79.0999984741211,1,10669.848917173988,0.0017730419360650895
25,2015-03-02,0,79.79000091552734,1,10762.92378372654,0.00872316630488923
26,2015-03-03,0,78.98999786376953,1,10655.010865139991,-0.01002635721993228
27,2015-03-04,0,77.62999725341797,1,10471.559521023175,-0.017217377479831097
28,2015-03-05,0,78.62000274658203,1,10605.101989329149,0.012752872963942785
29,2015-03-06,1,77.55000305175781,1,10460.76905247161,-0.013609764149629666
30,2015-03-09,0,77.93000030517578,1,10512.027122776597,0.0049000288647873536
31,2015-03-10,0,76.01000213623047,1,10253.037353129514,-0.024637471595362004
32,2015-03-11,0,76.01000213623047,1,10253.037353129514,0.0
33,2015-03-12,1,77.4000015258789,1,10440.5352515949,0.018287058947284107
34,2015-03-13,1,77.62000274658203,1,10470.211355662894,0.0028423929763046196
35,2015-03-16,0,78.33000183105469,1,10565.983582069872,0.009147114910452947
36,2015-03-17,1,79.66000366210938,1,10745.388371838117,0.016979468913115525
37,2015-03-18,0,76.88999938964844,1,10371.740740267627,-0.034772836368553994
38,2015-03-19,0,77.13999938964844,1,10405.46339868419,0.0032513981269930436
39,2015-03-20,1,77.36000061035156,1,10435.139502752187,0.0028519733269878333
40,2015-03-23,0,76.3499984741211,1,10298.899674591787,-0.013055870323963381
41,2015-03-24,0,75.44999694824219,1,10177.497898465384,-0.011787839474338258
42,2015-03-25,0,73.12999725341797,1,9864.551669525028,-0.030748837490552905
43,2015-03-26,0,72.97000122070312,1,9842.969703288036,-0.0021878304214946187
44,2015-03-27,1,73.30999755859375,1,9888.832024750309,0.004659398824213845
45,2015-03-30,0,73.5999984741211,1,9927.950432009586,0.003955816739668494
46,2015-03-31,0,73.94000244140625,1,9973.813782605721,0.004619619216496451
47,2015-04-01,1,75.06999969482422,1,10126.239828160398,0.015282623966822673
48,2015-04-02,0,75.68000030517578,1,10208.523197027524,0.008125757464118255
49,2015-04-06,0,76.2300033569336,1,10282.71345719751,0.00726748215565487
50,2015-04-07,0,75.6500015258789,1,10204.476642678954,-0.007608576748172724
51,2015-04-08,0,75.44000244140625,1,10176.149733105103,-0.0027759296792719823
52,2015-04-09,1,76.33000183105469,1,10296.202314737362,0.011797446458723382
53,2015-04-10,1,76.52999877929688,1,10323.180029817067,0.0026201617115750864
54,2015-04-13,0,76.0199966430664,1,10254.385518489795,-0.006664081332357741
55,2015-04-14,0,75.94999694824219,1,10244.943215298512,-0.0009208063393225663
56,2015-04-15,0,76.02999877929688,1,10255.73471298394,0.0010533487066393121
57,2015-04-16,1,75.1500015258789,1,10137.031325845826,-0.011574342595643938
58,2015-04-17,2,73.1500015258789,0,9857.382808454804,-0.027586825807474624
59,2015-04-20,0,73.91999816894531,0,9857.382808454804,0.0
60,2015-04-21,2,74.62000274658203,0,9857.382808454804,0.0
61,2015-04-22,0,75.5,0,9857.382808454804,0.0
62,2015-04-23,1,76.5199966430664,1,9847.525425646349,-0.001000000000000112
63,2015-04-24,1,76.54000091552734,1,9850.099819142464,0.00026142542261542445
64,2015-04-27,0,76.55000305175781,1,9851.387015890521,0.00013067854861281702
65,2015-04-28,0,76.0199966430664,1,9783.179334051618,-0.0069236628029010205
66,2015-04-29,0,76.6500015258789,1,9864.25603784078,0.008287357414267671
67,2015-04-30,0,76.05999755859375,1,9788.32713920041,-0.007697377110761794
68,2015-05-01,1,76.43000030517578,1,9835.943600444147,0.004864616861142812
69,2015-05-04,0,75.8499984741211,1,9761.301898551836,-0.007588667129907134
70,2015-05-05,0,75.0,1,9651.913739209484,-0.011206308387878172
71,2015-05-06,0,74.4800033569336,1,9584.994235962076,-0.006933288574218821
72,2015-05-07,1,74.7300033569336,1,9617.16728175944,0.0033566056489271467
73,2015-05-08,1,76.30999755859375,1,9820.500184997774,0.02114270213683267
74,2015-05-11,0,76.79000091552734,1,9882.272864939829,0.006290176546854598
75,2015-05-12,0,76.56999969482422,1,9853.960427543198,-0.002864972237012098
76,2015-05-13,0,77.08000183105469,1,9919.593715885985,0.006660599951196611
77,2015-05-14,1,79.43000030517578,1,10222.020150012528,0.030487784357762004
