step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,28.2450008392334,1,9990.0,-0.0010000000000000009
1,2015-01-26,0,28.274999618530273,1,10000.61029549553,0.001062091641194085
2,2015-01-27,0,27.28499984741211,1,9650.456377293738,-383.9570003712323
3,2015-01-28,0,28.82749938964844,1,10196.024441343376,29.59751276239646
4,2015-01-29,0,29.725000381469727,1,10513.462382284786,4.314984958042185
5,2015-01-30,0,29.290000915527344,1,10359.607026092757,-2.2017954480844986
6,2015-02-02,0,29.657499313354492,1,10489.587868196102,1.6001795219788966
7,2015-02-03,0,29.662500381469727,1,10491.356700519937,-0.010870637831622823
8,2015-02-04,0,29.88999938964844,1,10571.821031345817,0.967907304022364
9,2015-02-05,0,29.98500061035156,1,10605.422099379983,0.3850743077618107
10,2015-02-06,0,29.732500076293945,1,10516.114956158668,-1.2386275037017722
11,2015-02-09,0,29.93000030517578,1,10585.968991489017,0.8390492856937019
12,2015-02-10,0,30.5049991607666,1,10789.34085895851,2.3159898619065973
13,2015-02-11,0,31.219999313354492,1,11042.229912317338,2.5960900779333347
14,2015-02-12,0,31.614999771118164,1,11181.937982978036,1.4067360837950809
15,2015-02-13,0,31.770000457763672,1,11236.760316615137,0.5332940348988416
16,2015-02-17,0,31.957500457763672,1,11303.077361909684,0.6492637212564678
17,2015-02-18,0,32.18000030517578,1,11381.773535023598,0.7688078379154742
18,2015-02-19,0,32.11249923706055,1,11357.899020934914,-0.3600051828228545
19,2015-02-20,0,32.375,1,11450.74315419203,0.9067139008963718
20,2015-02-23,0,33.25,1,11760.222698899923,2.491350628937722
21,2015-02-24,0,33.04249954223633,1,11686.831673533774,-0.9400723578818493
22,2015-02-25,0,32.1974983215332,1,11387.962424321411,-4.183246182720898
23,2015-02-26,0,32.60499954223633,1,11532.091901179827,1.283376544264459
24,2015-02-27,0,32.1150016784668,1,11358.784111708703,-2.092739547921634
25,2015-03-02,0,32.272499084472656,1,11414.489512283979,0.4852786807072257
26,2015-03-03,0,32.34000015258789,1,11438.364026372663,0.17260009772132076
27,2015-03-04,0,32.1349983215332,1,11365.856742556562,-0.8540870511931702
28,2015-03-05,0,31.602500915527344,1,11177.517251392188,-2.2540695716071433
29,2015-03-06,0,31.649999618530273,1,11194.317110797401,0.1182080201388926
30,2015-03-09,0,31.78499984741211,1,11242.0654643629,0.4276899571452491
31,2015-03-10,0,31.127500534057617,1,11009.513935056959,-2.7857796455679424
32,2015-03-11,0,30.559999465942383,1,10808.793966849478,-2.2822863790266212
33,2015-03-12,0,31.112499237060547,1,11004.208112697323,1.8487343949469104
34,2015-03-13,0,30.897499084472656,1,10928.16451345729,-0.8209587814748944
35,2015-03-16,0,31.237499237060547,1,11048.419476227022,1.1186328172511266
36,2015-03-17,0,31.760000228881836,1,11233.223326579335,1.6549388930638997
37,2015-03-18,0,32.11750030517578,1,11359.667853258748,1.1026767989778994
38,2015-03-19,0,31.875,1,11273.897700073234,-0.9165020206244717
39,2015-03-20,0,31.475000381469727,1,11132.42147170057,-1.511930508477744
40,2015-03-23,0,31.802499771118164,1,11248.255028272584,1.026981089780556
41,2015-03-24,0,31.67250061035156,1,11202.27550703092,-0.5007035342231151
42,2015-03-25,0,30.844999313354492,1,10909.59582172824,-3.2452891252678024
43,2015-03-26,0,31.059999465942383,1,10985.639420968273,0.6804478791740648
44,2015-03-27,0,30.8125,1,10898.101110070793,-0.891023061719144
45,2015-03-30,0,31.592500686645508,1,11173.980261356388,2.4156006314676106
46,2015-03-31,0,31.107500076293945,1,11002.439954985357,-1.709343910318829
47,2015-04-01,0,31.0625,1,10986.523837130191,-0.17961369694887575
48,2015-04-02,0,31.329999923706055,1,11081.136128099271,0.81860511617452
49,2015-04-06,0,31.837499618530273,1,11260.63415609195,1.517231319924553
50,2015-04-07,0,31.502500534057617,1,11142.148025646055,-1.1585281685417927
51,2015-04-08,0,31.399999618530273,1,11105.894383738005,-0.3703974190551654
52,2015-04-09,0,31.63999938964844,1,11190.780120761603,0.7178322716616325
53,2015-04-10,0,31.774999618530273,1,11238.5284743271,0.3873307676428993
