step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,28.2450008392334,1,9990.0,-0.0010000000000000009
1,2015-01-26,0,28.274999618530273,1,10000.61029549553,0.001062091641194085
2,2015-01-27,0,27.28499984741211,1,9650.456377293738,-0.035013254976999475
3,2015-01-28,0,28.82749938964844,1,10196.024441343376,0.0565328770702791
4,2015-01-29,1,29.725000381469727,1,10513.462382284786,0.03113350137277493
5,2015-01-30,1,29.290000915527344,1,10359.607026092757,-0.014634128187044793
6,2015-02-02,1,29.657499313354492,1,10489.587868196102,0.0125468892570888
7,2015-02-03,0,29.662500381469727,1,10491.356700519937,0.00016862743761336674
8,2015-02-04,1,29.88999938964844,1,10571.821031345817,0.007669582983666157
9,2015-02-05,1,29.98500061035156,1,10605.422099379983,0.003178361413283204
10,2015-02-06,1,29.732500076293945,1,10516.114956158668,-0.00842089474463592
11,2015-02-09,0,29.93000030517578,1,10585.968991489017,0.0066425705330883655
12,2015-02-10,0,30.5049991607666,1,10789.34085895851,0.01921145505272137
13,2015-02-11,1,31.219999313354492,1,11042.229912317338,0.023438786174676318
14,2015-02-12,1,31.614999771118164,1,11181.937982978036,0.012652161000999973
15,2015-02-13,1,31.770000457763672,1,11236.760316615137,0.004902757797490498
16,2015-02-17,1,31.957500457763672,1,11303.077361909684,0.005901794060382937
17,2015-02-18,1,32.18000030517578,1,11381.773535023598,0.0069623670257370485
18,2015-02-19,1,32.11249923706055,1,11357.899020934914,-0.0020976093062490264
19,2015-02-20,0,32.375,1,11450.74315419203,0.008174410873523774
20,2015-02-23,0,33.25,1,11760.222698899923,0.027027027027026973
21,2015-02-24,0,33.04249954223633,1,11686.831673533774,-0.006240615271087879
22,2015-02-25,0,32.1974983215332,1,11387.962424321411,-0.025573162817873696
23,2015-02-26,1,32.60499954223633,1,11532.091901179827,0.012656300704908974
24,2015-02-27,1,32.1150016784668,1,11358.784111708703,-0.015028304574419282
25,2015-03-02,1,32.272499084472656,1,11414.489512283979,0.00490416932194826
26,2015-03-03,0,32.34000015258789,1,11438.364026372663,0.0020915971811958922
27,2015-03-04,2,32.1349983215332,0,11354.490885814004,-0.007332616829231697
28,2015-03-05,0,31.602500915527344,0,11354.490885814004,0.0
29,2015-03-06,0,31.649999618530273,0,11354.490885814004,0.0
30,2015-03-09,0,31.78499984741211,0,11354.490885814004,0.0
31,2015-03-10,2,31.127500534057617,0,11354.490885814004,0.0
32,2015-03-11,2,30.559999465942383,0,11354.490885814004,0.0
33,2015-03-12,2,31.112499237060547,0,11354.490885814004,0.0
34,2015-03-13,2,30.897499084472656,0,11354.490885814004,0.0
35,2015-03-16,2,31.237499237060547,0,11354.490885814004,0.0
36,2015-03-17,2,31.760000228881836,0,11354.490885814004,0.0
37,2015-03-18,2,32.11750030517578,0,11354.490885814004,0.0
38,2015-03-19,2,31.875,0,11354.490885814004,0.0
39,2015-03-20,0,31.475000381469727,0,11354.490885814004,0.0
40,2015-03-23,2,31.802499771118164,0,11354.490885814004,0.0
41,2015-03-24,0,31.67250061035156,0,11354.490885814004,0.0
42,2015-03-25,0,30.844999313354492,0,11354.490885814004,0.0
43,2015-03-26,2,31.059999465942383,0,11354.490885814004,0.0
44,2015-03-27,2,30.8125,0,11354.490885814004,0.0
45,2015-03-30,0,31.592500686645508,0,11354.490885814004,0.0
46,2015-03-31,0,31.107500076293945,0,11354.490885814004,0.0
47,2015-04-01,2,31.0625,0,11354.490885814004,0.0
48,2015-04-02,1,31.329999923706055,1,11343.13639492819,-0.001000000000000112
49,2015-04-06,0,31.837499618530273,1,11526.878440022156,0.0161985220574552
50,2015-04-07,2,31.502500534057617,0,11394.185255285092,-0.011511632175832065
51,2015-04-08,0,31.399999618530273,0,11394.185255285092,0.0
52,2015-04-09,2,31.63999938964844,0,11394.185255285092,0.0
53,2015-04-10,0,31.774999618530273,0,11394.185255285092,0.0
54,2015-04-13,0,31.712499618530273,0,11394.185255285092,0.0
55,2015-04-14,0,31.575000762939453,0,11394.185255285092,0.0
56,2015-04-15,1,31.69499969482422,1,11382.791070029807,-0.0010000000000000009
