step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,15.619500160217283,1,9990.0,-0.0010000000000000009
1,2015-01-26,1,15.482999801635742,1,9902.696400765579,-0.008739099022464614
2,2015-01-27,1,15.337499618530272,1,9809.636647616382,-0.009397415550576937
3,2015-01-28,1,15.195500373840332,1,9718.816042609726,-0.009258304692531527
4,2015-01-29,1,15.58899974822998,1,9970.492390113148,0.025895782613850393
5,2015-01-30,0,17.726499557495117,1,11337.605477953575,0.13711590504758542
6,2015-02-02,0,18.223499298095703,1,11655.479120366648,0.02803710563321249
7,2015-02-03,1,18.177499771118164,1,11626.058507044076,-0.0025241873816378435
8,2015-02-04,1,18.237499237060547,1,11664.433273113164,0.0033007545975995978
9,2015-02-05,1,18.694499969482425,1,11956.72414478412,0.02505830029005307
10,2015-02-06,1,18.714000701904297,1,11969.196523214685,0.0010431267192867466
11,2015-02-09,1,18.527999877929688,1,11850.233162515151,-0.009939126696499656
12,2015-02-10,0,18.649999618530273,1,11928.26238215075,0.00658461471310301
13,2015-02-11,1,18.756999969482425,1,11996.698215247034,0.005737284350710636
14,2015-02-12,1,18.85849952697754,1,12061.61582265926,0.005411289527123442
15,2015-02-13,0,19.09149932861328,1,12210.639030474167,0.012355161199459674
16,2015-02-17,1,18.771499633789062,1,12005.971984889946,-0.01676137056164162
17,2015-02-18,1,18.668500900268555,1,11940.095526788515,-0.0054869741645524606
18,2015-02-19,1,18.950000762939453,1,12120.138652319822,0.015078868098447495
19,2015-02-20,0,19.183000564575195,1,12269.16186013473,0.012295503549077491
20,2015-02-23,1,19.006999969482425,1,12156.594497098684,-1.0054784763036375
21,2015-02-24,1,18.929500579833984,1,12107.027040096451,-0.46140175517677895
22,2015-02-25,1,19.26849937438965,1,12323.84562730302,1.5931516021358345
23,2015-02-26,1,19.239999771118164,1,12305.61770491359,-0.19885454349553297
24,2015-02-27,1,19.007999420166016,1,12157.233730891485,-1.3216062448159562
25,2015-03-02,0,19.28300094604492,1,12333.120616857752,1.2954756328994343
26,2015-03-03,1,19.230499267578125,1,12299.541324146507,-0.3239790493389803
27,2015-03-04,1,19.13599967956543,1,12239.100793107536,-0.5494115265441802
28,2015-03-05,0,19.39150047302246,1,12402.51530064324,1.198531627416662
29,2015-03-06,0,19.004499435424805,1,12154.995192704855,-2.2327976473004925
30,2015-03-09,1,18.92799949645996,1,12106.066969495429,-0.44893046864149844
31,2015-03-10,1,18.475500106811523,1,11816.655089715723,-2.6436322124361946
32,2015-03-11,1,18.318500518798828,1,11716.24048821384,-0.8895589051770517
33,2015-03-12,0,18.711999893188477,1,11967.91683571726,1.9023810369352387
34,2015-03-13,0,18.52899932861328,1,11850.872396307956,-1.0208798641226844
35,2015-03-16,0,18.667499542236328,1,11939.455073083893,0.6653385536794325
36,2015-03-17,1,18.59600067138672,1,11893.725458662117,-0.4152331035238054
37,2015-03-18,1,18.756999969482425,1,11996.698215247034,0.7748655810489782
38,2015-03-19,1,18.66200065612793,1,11935.938067311658,-0.5415358757187505
39,2015-03-20,0,18.92449951171875,1,12103.8284313088,1.2578767467702714
40,2015-03-23,1,18.75550079345703,1,11995.739364557827,-0.9407803873618128
41,2015-03-24,1,18.704500198364254,1,11963.1201424476,-0.30640064334800265
42,2015-03-25,1,18.54800033569336,1,11863.02515784212,-0.8783964950651536
43,2015-03-26,1,18.36750030517578,1,11747.58002282664,-1.0158706119399512
44,2015-03-27,0,18.527999877929688,1,11850.233162515151,0.7916277430623765
45,2015-03-30,0,18.72949981689453,1,11979.109526650403,0.9835339894162073
46,2015-03-31,1,18.604999542236328,1,11899.48100262098,-0.7022915161298138
47,2015-04-01,1,18.51300048828125,1,11840.639775975835,-0.5274171760689212
48,2015-04-02,0,18.612499237060547,1,11904.277695890638,0.48004136406643544
49,2015-04-06,0,18.85199928283691,1,12057.4583631824,1.1661621381853924
50,2015-04-07,1,18.72050094604492,1,11973.353982691538,-0.7404763335439217
51,2015-04-08,0,19.059999465942383,1,12190.49218679451,1.6218854165651804
52,2015-04-09,0,19.177000045776367,1,12265.324017554276,0.5428215389025443
53,2015-04-10,0,19.13249969482422,1,12236.862254920909,-0.2723671433118262
54,2015-04-13,1,19.118000030517575,1,12227.58848527799,-0.1169737043041142
55,2015-04-14,1,19.25550079345703,1,12315.531928261127,0.644070681948722
56,2015-04-15,1,19.17250061035156,1,12262.446245574842,-0.4760115019566982
57,2015-04-16,0,19.302000045776367,1,12345.272158480102,0.6051050275456242
58,2015-04-17,0,18.777999877929688,1,12010.129444366801,-3.037932145808563
59,2015-04-20,0,19.475500106811523,1,12456.240217122324,3.1009975125462756
60,2015-04-21,1,19.55900001525879,1,12509.645516705008,0.35442893196736325
61,2015-04-22,1,19.489999771118164,1,12465.51398676524,-0.3847954022986669
62,2015-04-23,1,19.499500274658203,1,12471.590367532322,0.0020969194113034284
63,2015-04-24,0,22.2549991607666,1,14233.966473672712,5.598249759794718
64,2015-04-27,1,21.92799949645996,1,14024.822351715233,-1.1434762427840302
65,2015-04-28,1,21.465499877929688,1,13729.014474272042,-1.640899149877628
66,2015-04-29,0,21.4685001373291,1,13730.93339556227,-0.04011091049576412
67,2015-04-30,0,21.089000701904297,1,13488.211200805363,-1.3544529893465964
68,2015-05-01,0,21.14349937438965,1,13523.067741190398,0.13177804630350584
69,2015-05-04,0,21.152000427246097,1,13528.50488816468,-0.01862371934198348
70,2015-05-05,0,21.059499740600582,1,13469.34282471131,-0.35603277335979644
71,2015-05-06,1,20.954999923706055,1,13402.506296008856,-0.3979871739158143
72,2015-05-07,0,21.3439998626709,1,13651.304871532846,1.1820681005847054
73,2015-05-08,0,21.684499740600582,1,13869.083529340436,1.0119102276754819
74,2015-05-11,0,21.642499923706055,1,13842.221071100896,-0.1869252285367028
75,2015-05-12,0,21.551000595092773,1,13783.699461352151,-0.351074713915735
76,2015-05-13,0,21.3435001373291,1,13650.985254636445,-0.7483968039532943
77,2015-05-14,0,21.61400032043457,1,13823.993148711465,0.8090543456759371
78,2015-05-15,0,21.299999237060547,1,13623.162725795879,-1.123701721802988
79,2015-05-18,1,21.261999130249023,1,13598.858422639367,-0.1724584180496145
80,2015-05-19,1,21.08550071716309,1,13485.972662618737,-0.6468323357836718
81,2015-05-20,1,21.19300079345703,1,13554.728112611418,0.3105086164355649
82,2015-05-21,1,21.581499099731445,1,13803.205851327188,1.1795921819525947
83,2015-05-22,1,21.381500244140625,1,13675.289557792958,-0.7241586916886837
84,2015-05-26,1,21.273500442504883,1,13606.214490903874,-0.4095821594403176
85,2015-05-27,0,21.570999145507812,1,13796.4902367673,0.9042698975707218
86,2015-05-28,1,21.328500747680664,1,13641.391868097127,-0.8754504582977516
87,2015-05-29,0,21.46150016784668,1,13726.456319189014,0.3893732683124683
88,2015-06-01,0,21.54599952697754,1,13780.500852564499,0.230893086906876
89,2015-06-02,0,21.54949951171875,1,13782.739390751129,-0.035000341325823685
90,2015-06-03,1,21.829500198364254,1,13961.823665593229,0.844416128131532
91,2015-06-04,0,21.538999557495117,1,13776.023776191243,-1.045924259717542
92,2015-06-05,0,21.34749984741211,1,13653.543409719476,-0.7008972484814289
93,2015-06-08,1,21.174999237060547,1,13543.214584870055,-0.6377046067379862
94,2015-06-09,1,21.27400016784668,1,13606.534107800275,0.2880632669938049
95,2015-06-10,1,21.53849983215332,1,13775.70415929484,0.8168436025577147
96,2015-06-11,1,21.648500442504883,1,13846.058913681349,0.3164379203961527
97,2015-06-12,0,21.496000289916992,1,13748.522084158896,-0.5665338481522367
98,2015-06-15,0,21.183500289916992,1,13548.651731844335,-1.1439424718265099
99,2015-06-16,0,21.363000869750977,1,13663.457633067012,0.554380022414432
100,2015-06-17,1,21.39049911499023,1,13681.045101751819,0.04949119470430645
101,2015-06-18,0,21.969499588012695,1,14051.365193058373,1.7561056842188703
102,2015-06-19,0,21.746000289916992,1,13908.418366010548,-0.8073985250813495
103,2015-06-22,0,21.81450080871582,1,13952.230279053914,0.17933444541584118
104,2015-06-23,0,22.29949951171875,1,14262.42823630608,1.4463375890638415
105,2015-06-24,1,22.04199981689453,1,14097.735261184771,-0.9181271250240644
106,2015-06-25,1,22.0049991607666,1,14074.07019182106,-0.1695027565014876
107,2015-06-26,0,21.905000686645508,1,14010.112655009854,-0.3810607519501793
108,2015-06-29,0,21.493000030517575,1,13746.603162868667,-1.4937060741740098
109,2015-06-30,0,21.704500198364254,1,13881.875524667405,0.6473793107906517
110,2015-07-01,1,21.86949920654297,1,13987.40643633535,0.49313986496241663
111,2015-07-02,1,21.885499954223633,1,13997.640276579288,0.007672516712165372
112,2015-07-06,0,21.802000045776367,1,13944.234976996604,-0.3261938307249317
113,2015-07-07,1,21.836000442504883,1,13965.981125070088,0.06861030757013947
114,2015-07-08,1,21.48500061035156,1,13741.486852702608,-1.2790745006109707
115,2015-07-09,1,21.719499588012695,1,13891.468911206723,0.7283368536319738
116,2015-07-10,0,22.175500869750977,1,14183.120549084875,1.3901889374936016
117,2015-07-13,0,22.778499603271484,1,14568.789570889609,1.7564635431818612
118,2015-07-14,0,23.278499603271484,1,14888.582134592909,1.4156487634846067
119,2015-07-15,1,23.059499740600582,1,14748.513079524511,-0.761414578546141
120,2015-07-16,0,23.77400016784668,1,15205.496926316779,1.9345120508170088
121,2015-07-17,0,24.15049934387207,1,15446.300199783458,1.0101130631601871
122,2015-07-20,0,24.405000686645508,1,15609.075473526358,0.6657192679243772
123,2015-07-21,0,24.399999618530273,1,15605.876864738708,-0.07712482712280583
124,2015-07-22,0,24.41349983215332,1,15614.511400588819,-0.022118173194041666
125,2015-07-23,2,24.108999252319336,0,15404.337601081876,-1.0961539610875484
126,2015-07-24,0,26.47100067138672,0,15404.337601081876,-0.059187876627056754
127,2015-07-27,0,26.570499420166016,0,15404.337601081876,-0.059033683023666614
128,2015-07-28,0,26.30150032043457,0,15404.337601081876,-0.05887992163834465
129,2015-07-29,0,26.450000762939453,0,15404.337601081876,-0.0587265910298143
130,2015-07-30,1,26.83799934387207,1,15388.933263480794,-0.13206667738008632
131,2015-07-31,0,26.8075008392334,1,15371.44539314788,-0.14198182327006345
132,2015-08-03,0,26.75149917602539,1,15339.33398846716,-0.2127641168883105
133,2015-08-04,1,26.594999313354492,1,15249.596824696931,-0.49857175533886255
134,2015-08-05,1,26.850500106811523,1,15396.101212333948,0.6255552148114376
135,2015-08-06,0,26.472999572753903,1,15179.642062338942,-1.157105194611035
136,2015-08-07,0,26.131000518798828,1,14983.539493363734,-1.0559001789203355
137,2015-08-10,1,26.200000762939453,1,15023.10429618822,0.14077008471528948
