step,date,action,price,position,portfolio_value,reward
0,2015-01-23,1,74.05999755859375,1,9990.0,-0.0010000000000000009
1,2015-01-26,0,72.73999786376953,1,9811.944404725898,-0.017823382910320484
2,2015-01-27,0,71.45999908447266,1,9639.28455829451,-0.01759690427396099
3,2015-01-28,0,70.25,1,9476.067015054405,-0.016932537083331423
4,2015-01-29,0,71.63999938964844,1,9663.56491351979,0.01978646818004881
5,2015-01-30,0,70.12999725341797,1,9459.879768526263,-0.021077640272127773
6,2015-02-02,0,71.11000061035156,1,9592.073042338094,0.013974096610788633
7,2015-02-03,0,71.91999816894531,1,9701.334126284923,0.011390768550715302
8,2015-02-04,0,72.27999877929688,1,9749.894836735484,0.005005570349235766
9,2015-02-05,0,73.0999984741211,1,9860.505115176458,0.0113447663070394
10,2015-02-06,0,72.54000091552734,1,9784.966689646191,-0.007660705475828422
11,2015-02-09,0,72.33000183105469,1,9756.639780072343,-0.002894941850320465
12,2015-02-10,0,72.76000213623047,1,9814.642793714185,0.005944978491499997
13,2015-02-11,0,73.01000213623047,1,9848.365452130749,0.0034359537199011303
14,2015-02-12,0,74.58999633789062,1,10061.491871181697,0.02164079106191541
15,2015-02-13,1,76.51000213623047,1,10320.482669962641,0.02574079491360015
16,2015-02-17,0,77.12999725341797,1,10404.114204190048,0.008103451834749142
17,2015-02-18,0,77.7300033569336,1,10485.049407696892,0.007779153700009367
18,2015-02-19,0,77.7300033569336,1,10485.049407696892,0.0
19,2015-02-20,0,78.55000305175781,1,10595.659686137866,0.010549333068452293
20,2015-02-23,0,78.0999984741211,1,10534.958283507733,-1.4804945220887977
21,2015-02-24,0,77.68000030517578,1,10478.304464360033,-1.3732059254237896
22,2015-02-25,0,78.06999969482422,1,10530.911729159163,1.12756021300687
23,2015-02-26,0,78.95999908447266,1,10650.964310791422,2.454386036510596
24,2015-02-27,0,79.0999984741211,1,10669.848917173988,0.37295383885059213
25,2015-03-02,0,79.79000091552734,1,10762.92378372654,1.8578697623086802
26,2015-03-03,0,78.98999786376953,1,10655.010865139991,-2.636145386881995
27,2015-03-04,0,77.62999725341797,1,10471.559521023175,-4.606119966664416
28,2015-03-05,0,78.62000274658203,1,10605.101989329149,2.6049395217444196
29,2015-03-06,0,77.55000305175781,1,10460.76905247161,-3.3029200732231696
30,2015-03-09,0,77.93000030517578,1,10512.027122776597,1.000330942235556
31,2015-03-10,0,76.01000213623047,1,10253.037353129514,-6.060334271541963
32,2015-03-11,0,76.01000213623047,1,10253.037353129514,-0.012625714070363158
33,2015-03-12,0,77.4000015258789,1,10440.5352515949,3.5007511792257713
34,2015-03-13,0,77.62000274658203,1,10470.211355662894,0.5287685132123962
35,2015-03-16,0,78.33000183105469,1,10565.983582069872,1.6999517903555617
36,2015-03-17,0,79.66000366210938,1,10745.388371838117,2.9984777613710256
37,2015-03-18,0,76.88999938964844,1,10371.740740267627,-8.169414187899344
38,2015-03-19,0,77.13999938964844,1,10405.46339868419,0.5407431473954047
39,2015-03-20,0,77.36000061035156,1,10435.139502752187,0.47219636834968987
40,2015-03-23,0,76.3499984741211,1,10298.899674591787,-2.374427088500012
41,2015-03-24,0,75.44999694824219,1,10177.497898465384,-2.0832151171843534
42,2015-03-25,1,73.12999725341797,1,9864.551669525028,-5.43014432350657
43,2015-03-26,0,72.97000122070312,1,9842.969703288036,-0.34334743813105706
44,2015-03-27,0,73.30999755859375,1,9888.832024750309,0.7563484569276854
45,2015-03-30,0,73.5999984741211,1,9927.950432009586,0.640626971731056
46,2015-03-31,0,73.94000244140625,1,9973.813782605721,0.7462970872986767
47,2015-04-01,0,75.06999969482422,1,10126.239828160398,2.4640606437879518
48,2015-04-02,0,75.68000030517578,1,10208.523197027524,1.276804256731437
49,2015-04-06,0,76.2300033569336,1,10282.71345719751,1.1331832855254367
50,2015-04-07,0,75.6500015258789,1,10204.476642678954,-1.232698513156271
51,2015-04-08,0,75.44000244140625,1,10176.149733105103,-0.4487016441818067
52,2015-04-09,0,76.33000183105469,1,10296.202314737362,1.8397175677031996
53,2015-04-10,0,76.52999877929688,1,10323.180029817067,0.3997056614936042
54,2015-04-13,0,76.0199966430664,1,10254.385518489795,-1.078919308545261
55,2015-04-14,0,75.94999694824219,1,10244.943215298512,-0.15527491918374428
56,2015-04-15,0,76.02999877929688,1,10255.73471298394,0.1571554627230455
57,2015-04-16,0,75.1500015258789,1,10137.031325845826,-1.878735955130706
58,2015-04-17,0,73.1500015258789,1,9867.250058513317,-4.28939291997369
59,2015-04-20,0,73.91999816894531,1,9971.115393617432,1.6134835832272447
60,2015-04-21,0,74.62000274658203,1,10065.53945466413,1.4328247430463055
61,2015-04-22,0,75.5,1,10184.242841802243,1.765401113442131
62,2015-04-23,0,76.5199966430664,1,10321.830835322922,1.9889141360597904
63,2015-04-24,0,76.54000091552734,1,10324.52922431121,0.027207756803129177
64,2015-04-27,0,76.55000305175781,1,10325.878418805356,0.007761734428538438
65,2015-04-28,1,76.0199966430664,1,10254.385518489795,-1.0588721529867058
66,2015-04-29,0,76.6500015258789,1,10339.367276345209,1.2147768351368202
67,2015-04-30,1,76.05999755859375,1,10259.78126733251,-1.1766432230245842
68,2015-05-01,0,76.43000030517578,1,10309.691172277215,0.7110310434166347
69,2015-05-04,0,75.8499984741211,1,10231.45435775866,-1.1576074077193523
70,2015-05-05,1,75.0,1,10116.797524969115,-1.7013790443502337
71,2015-05-06,1,74.4800033569336,1,10046.654848281563,-1.0367040631500097
72,2015-05-07,0,74.7300033569336,1,10080.377506698127,0.4964274569888315
73,2015-05-08,0,76.30999755859375,1,10293.503925749073,3.115661949667095
74,2015-05-11,0,76.79000091552734,1,10358.251882727775,0.8968458692307884
75,2015-05-12,1,76.56999969482422,1,10328.57577865978,-0.4317410737161123
76,2015-05-13,0,77.08000183105469,1,10397.370289987053,0.9499695590875412
77,2015-05-14,0,79.43000030517578,1,10714.36307327598,4.167297695844233
